arquivo	status	pass	fail	segundos
aiprovider	MORTO	0	0	304
api	OK	36	0	131
approvals	OK	26	0	10
audit-forense	OK	12	0	114
auth	OK	24	0	10
autonomy	OK	15	0	12
backpressure-audit	OK	13	0	71
bench	FALHOU	36	1	17
cascata-percepcao	FALHOU	4	14	143
cli	FALHOU	34	1	294
click-entrega	OK	21	0	31
config-schema	OK	16	0	1
e2e-gate	OK	12	0	8
injection-wired	OK	16	0	8
lease	OK	37	0	2
mcp	OK	36	0	18
observability	OK	22	0	8
ownership	OK	11	0	18
perception	OK	8	0	6
pointer-keyboard	OK	26	0	13
policy-vault	OK	14	0	4
product02-gate	MORTO	0	0	301
providers-runtime	OK	14	0	189
recovery-watchdog	MORTO	0	0	300
replay-hardening	OK	44	0	0
sdk-ts	OK	8	0	1
security-files-secrets	OK	38	0	1
security-net-injection	OK	22	0	1
session	OK	12	0	1
skills	OK	10	0	0
supervisor	OK	10	0	1
target-verifier	OK	28	0	2
task-engine	OK	19	0	14
traceability	OK	7	0	1
ui-build	OK	6	0	1
vision	OK	50	0	15
watchdog-wired	OK	8	0	9
